Tweet ID,Username,User's ScreenName,User's Location,User's Description,User's Language,User's Followers,User's Friends,Tweet Creation Time,Tweet Text,Clean Tweet Text
1022235352503861248,Sassy Blonde,videogirlprod,"Live, Love b a voice 4 change",#indiefilmmaker Freedom is the ability 2 b creative w/o boundaries Advocate 4 #suicideprevention #mentalhealth #Resist #Trump #GOP #votethemout2018,en,2967,2617,2018-07-25 21:41:14,"@DUALIPA Nope, dude was a doughebag. #AirCanada   was voted number one airline. If you can fly with them whenever possible, you should.",Nope dude was a doughebag AirCanada was voted number one airline If you can fly with them whenever possible you should
1022234117633531904,Erica Fabian,EricaFabs,"Vancouver, BC, Canada","Loud. Admirer of post-Impressionism. Opinionated overachiever. Creating addict. Ginger Chant. My name's Erica, but my friends call me Erica. Pix-Elated Films.",en,694,109,2018-07-25 21:36:20,Consistency is key. Choose #AirCanada if you like knowing you will always be let down. #worstflights,Consistency is key Choose AirCanada if you like knowing you will always be let down worstflights
1022233527322963968,Erica Fabian,EricaFabs,"Vancouver, BC, Canada","Loud. Admirer of post-Impressionism. Opinionated overachiever. Creating addict. Ginger Chant. My name's Erica, but my friends call me Erica. Pix-Elated Films.",en,694,109,2018-07-25 21:33:59,"Feeling parched on that cross country flight? Well, choose #AirCanada to live with that thirst",Feeling parched on that cross country flight Well choose AirCanada to live with that thirst
1022233306425741312,Erica Fabian,EricaFabs,"Vancouver, BC, Canada","Loud. Admirer of post-Impressionism. Opinionated overachiever. Creating addict. Ginger Chant. My name's Erica, but my friends call me Erica. Pix-Elated Films.",en,694,109,2018-07-25 21:33:07,Need air conditioned flights on a hot day? Don\xe2\x80\x99t choose #AirCanada #ACoptional,Need air conditioned flights on a hot day Don xe2 x80 x99t choose AirCanada ACoptional
1022233009200627712,Erica Fabian,EricaFabs,"Vancouver, BC, Canada","Loud. Admirer of post-Impressionism. Opinionated overachiever. Creating addict. Ginger Chant. My name's Erica, but my friends call me Erica. Pix-Elated Films.",en,694,109,2018-07-25 21:31:56,"As always, arriving late at my destination thanks to #AirCanada. At least they gave us water 2 hours into our 3 hour flight. \xf0\x9f\xa4\xa8",As always arriving late at my destination thanks to AirCanada At least they gave us water 2 hours into our 3 hour flight xf0 x9f xa4 xa8
1022220646472802304,traveljustkas,traveljustkas,"Edmonton, Alberta","Hi! I'm Keith and she's Anukesh, we are bankers from Edmonton Canada who love to cook, eat, and travel the world one vacation at a time.",en,34,150,2018-07-25 20:42:48,Did Air Canada leave Aeroplan to crash the stock price just to buy it at a lower price ! #Genius \n#AirCanada\xe2\x80\xa6 https://t.co/BUkzDPEtZR,Did Air Canada leave Aeroplan to crash the stock price just to buy it at a lower price Genius n AirCanada xe2 x80 xa6
1022218592899792896,iLuvTrading,VirgilForex,Los Angeles CA,YouTuber! 250k Subscribers & growing.,en,222,9,2018-07-25 20:34:39,London to Vancouver on Air Canada Biz Class Review Vlog is now live. Link in bio! #ac855 #aircanada #london\xe2\x80\xa6 https://t.co/nDn1c6vy3k,London to Vancouver on Air Canada Biz Class Review Vlog is now live Link in bio ac855 aircanada london xe2 x80 xa6
1022216140120965120,Gala Travels,GalaTravels,"Ontario, Canada","We're a family owned and operated travel agency. We usually tweet travel ideas, tips and blogs as well as some awesome travel pictures!",en,2338,2588,2018-07-25 20:24:54,"A year after announcing plans to sever ties with Aeroplan, Air Canada is teaming up with three financial institutio\xe2\x80\xa6 https://t.co/3WSU3aXZd4",A year after announcing plans to sever ties with Aeroplan Air Canada is teaming up with three financial institutio xe2 x80 xa6
1022215582123360257,Following the Travel Bug,FTtravelbug,"Halifax, Nova Scotia.... for n","Traveler, new blogger, explorer, recent graduate, and beginner photographer",en,42,64,2018-07-25 20:22:41,YHZ -&gt; CDG \xe2\x9d\xa4\xf0\x9f\x8e\x8a\xf0\x9f\x8e\xb6 #tomorrowlandhereicome #3weeksaway #halitoeurope #solucky #aircanada #yhztocdg #tomorrowland2018\xe2\x80\xa6 https://t.co/873HF1Izds,YHZ gt CDG xe2 x9d xa4 xf0 x9f x8e x8a xf0 x9f x8e xb6 tomorrowlandhereicome 3weeksaway halitoeurope solucky aircanada yhztocdg tomorrowland2018 xe2 x80 xa6
1022200417566916608,Amalia,amaliaefowler,"Vancouver, British Columbia",Digital strategy expert bringing clarity to clients through the art and science of data storytelling. Account Director @snapmarketing. Opinions are my own.,en,2613,358,2018-07-25 19:22:25,Air Canada has unveiled a hostile bid to buy back Aeroplan. #aircanada #aeroplan\n\nhttps://t.co/UguVlj91ux,Air Canada has unveiled a hostile bid to buy back Aeroplan aircanada aeroplan n
1022199372040335361,Peter Glassford,peterglassford,"Collingwood, Ontario","Reg. Kinesiologist, Cycling Coach, Aspiring Polymath, Sweet Potato Advocate. Wife= @mollyjhurford Podcast = https://t.co/kOKOoyqHkI",en,1010,749,2018-07-25 19:18:16,#aeroplan and #aircanada update ... it is possible that AC is going to buy back aeroplan \n\n https://t.co/ZiK7Goamqv,aeroplan and aircanada update it is possible that AC is going to buy back aeroplan n n
1022197377543720960,Anna McCune,AnnaMcCuneAC,"Toronto, Ontario","Manager, Corporate Sales @AirCanada. #Travel the world for unlimited life experiences.",en,303,224,2018-07-25 19:10:20,.#StarAlliance Expands Connection Service to #Toronto Pearson Airport. #AirCanada https://t.co/gPC49twnGS https://t.co/C1ZadCx1QY,StarAlliance Expands Connection Service to Toronto Pearson Airport AirCanada
1022196542751559680,California Livin',California_Lvn,"Venice, LA",The California Experience.,en,400,46,2018-07-25 19:07:01,Find your beach life...\n\n#aircanada #WednesdayWisdom #LittleKnownCanadianLaws #WonderGadot https://t.co/ES6o7Fpxm8,Find your beach life n n aircanada WednesdayWisdom LittleKnownCanadianLaws WonderGadot
1022192370752921603,Mark Satov,MarkSatov,,Strategy advisor @SATOVtweets and media contributor,en,775,121,2018-07-25 18:50:27,That was the hit i have been waiting for since about a year ago.  What a story  #aeroplan Bottom line: don\xe2\x80\x99t play c\xe2\x80\xa6 https://t.co/TdxPMynmt4,That was the hit i have been waiting for since about a year ago What a story aeroplan Bottom line don xe2 x80 x99t play c xe2 x80 xa6
1022182367233011713,Dr. Jeff McNally,drjeff_unb,"Fredericton, New Brunswick","Dad, #HR professor & researcher of #entrepreneurship. Active volunteer and board member. My students call me 'Dr. Jeff' @UNB \xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x8f\xab.",en,1875,1871,2018-07-25 18:10:42,"Air Canada, CIBC, TD and Visa offer to buy Aeroplan https://t.co/mylCP0AYiT #BusinessNews #AirCanada",Air Canada CIBC TD and Visa offer to buy Aeroplan BusinessNews AirCanada
1022180791764312069,james,jamesmkv,"Toronto, Ontario",torontozeiros | cruzeiro | birdgang,en,269,215,2018-07-25 18:04:26,We still out here @AirCanada another 2 hours. #yyz #toronto #aircanada,We still out here another 2 hours yyz toronto aircanada
1022172306355802114,George Ferreira,georgeferreira5,"Montr\xc3\xa9al, Qu\xc3\xa9bec","Manager, Corporate Sales @AirCanada \nHelping connect corporate customers to the world.",en,394,273,2018-07-25 17:30:43,"Proposal by #AirCanada, #TD, #CIBC and #Visa to Acquire #Aimia's #Aeroplan Loyalty Business https://t.co/1bokUF4PHK https://t.co/3mIMDCj9dZ",Proposal by AirCanada TD CIBC and Visa to Acquire Aimia s Aeroplan Loyalty Business
1022171129228611584,Shannon Skinner,Shannon_Skinner,#Toronto,"Broadcaster, speaker, author, writer \xf0\x9f\x8c\x8e || TV:https://t.co/Wc9UcAbpYU | Radio: #ShannonSkinnerLive  @VoiceAmWomen | Human to Bob \xf0\x9f\x90\xb6 | #travel #wine",en,7789,5037,2018-07-25 17:26:02,RT @JimByersTravel: This is a heck of a story in Canadian business and travel circles. #AirCanada #Aeroplan #travelnews #biznews https://t.\xe2\x80\xa6,RT This is a heck of a story in Canadian business and travel circles AirCanada Aeroplan travelnews biznews
1022170479304429568,Erica Fabian,EricaFabs,"Vancouver, BC, Canada","Loud. Admirer of post-Impressionism. Opinionated overachiever. Creating addict. Ginger Chant. My name's Erica, but my friends call me Erica. Pix-Elated Films.",en,694,109,2018-07-25 17:23:27,"Late coming in, broken AC, late to take off. Classic #AirCanada. At least they\xe2\x80\x99re consistently a disappointment?\xe2\x80\xa6 https://t.co/RgKT0duB06",Late coming in broken AC late to take off Classic AirCanada At least they xe2 x80 x99re consistently a disappointment xe2 x80 xa6
1022169623074983936,Jamie Fox,ACJamieFox,Canada,@AirCanada @AirCanadaRouge | Live a Life Well Travelled | Laugh A Lot | Build Extraordinary Relationships | Opinions are my own and not the views of my employer,en,1745,1597,2018-07-25 17:20:03,RT @JimByersTravel: This is a heck of a story in Canadian business and travel circles. #AirCanada #Aeroplan #travelnews #biznews https://t.\xe2\x80\xa6,RT This is a heck of a story in Canadian business and travel circles AirCanada Aeroplan travelnews biznews
1022166173989969921,james,jamesmkv,"Toronto, Ontario",torontozeiros | cruzeiro | birdgang,en,269,215,2018-07-25 17:06:21,We here and @AirCanada has all counters closed. What great service! #aircanada #yyz #toronto https://t.co/bFYtpW6gaz,We here and has all counters closed What great service aircanada yyz toronto
